Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼şÃû	¶ÔÓ¦Îï¼şË÷Òı	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåĞĞÊôĞÔ	¼Û¸ñ	µÈ¼¶	»ù´¡ÊôĞÔ1ÀàĞÍ	»ù´¡ÊôĞÔ1×îĞ¡Öµ	»ù´¡ÊôĞÔ1×î´óÖµ	»ù´¡ÊôĞÔ2ÀàĞÍ	»ù´¡ÊôĞÔ2×îĞ¡Öµ	»ù´¡ÊôĞÔ2×î´óÖµ	»ù´¡ÊôĞÔ3ÀàĞÍ	»ù´¡ÊôĞÔ3×îĞ¡Öµ	»ù´¡ÊôĞÔ3×î´óÖµ	»ù´¡ÊôĞÔ4ÀàĞÍ	»ù´¡ÊôĞÔ4×îĞ¡Öµ	»ù´¡ÊôĞÔ4×î´óÖµ	»ù´¡ÊôĞÔ5ÀàĞÍ	»ù´¡ÊôĞÔ5×îĞ¡Öµ	»ù´¡ÊôĞÔ5×î´óÖµ	»ù´¡ÊôĞÔ6ÀàĞÍ	»ù´¡ÊôĞÔ6×îĞ¡Öµ	»ù´¡ÊôĞÔ6×î´óÖµ	»ù´¡ÊôĞÔ7ÀàĞÍ	»ù´¡ÊôĞÔ7×îĞ¡Öµ	»ù´¡ÊôĞÔ7×î´óÖµ	ĞèÇóÊôĞÔ1ÀàĞÍ	ĞèÇóÊôĞÔ1ÊıÖµ	ĞèÇóÊôĞÔ2ÀàĞÍ	ĞèÇóÊôĞÔ2ÊıÖµ	ĞèÇóÊôĞÔ3ÀàĞÍ	ĞèÇóÊôĞÔ3ÊıÖµ	ĞèÇóÊôĞÔ4ÀàĞÍ	ĞèÇóÊôĞÔ4ÊıÖµ	ĞèÇóÊôĞÔ5ÀàĞÍ	ĞèÇóÊôĞÔ5ÊıÖµ	ĞèÇóÊôĞÔ6ÀàĞÍ	ĞèÇóÊôĞÔ6ÊıÖµ
MÆt n¹ - Sãi x¸m	0	11	28	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Sãi ®á	0	11	29	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Thanh lang	0	11	30	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Sãi tuyÕt	0	11	31	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Hå Ly	0	11	32	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Hång Hå	0	11	33	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Heo rõng	0	11	34	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Nhİm	0	11	35	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Voi Ch©u ¸	0	11	36	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Voi Hoµng Hµ	0	11	37	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - GÊu n©u	0	11	38	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - GÊu ®en	0	11	39	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ -Tr©u rõng	0	11	40	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - D­¬ng Tö Ng¹c	0	11	41	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Th»n l»n ®á	0	11	42	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Nh·n Kİnh M·ng xµ	0	11	43	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - R¾n xanh	0	11	44	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Kim Hoµn M·ng Xµ	0	11	45	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Xİch LuyÖn M·ng Xµ	0	11	46	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Kim §iªu	0	11	47	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Th­¬ng ¦ng	0	11	48	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - KÒn kÒn	0	11	49	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - D¬i chóa	0	11	50	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - D¬i chóa ®á	0	11	51	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - D¬i Dong	0	11	52	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - D¬i hót m¸u	0	11	53	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Kim Miªu	0	11	54	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - X¸ LŞ	0	11	55	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Ho¸n Hïng	0	11	56	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Linh Miªu	0	11	57	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Tµng Vùc HÇu	0	11	58	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - KhØ x¸m	0	11	59	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - H¾c DiÖp HÇu	0	11	60	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Kim T¬ HÇu	0	11	61	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Sµi	0	11	62	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - TuyÕt Qu¸i	0	11	63	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Cãc	0	11	64	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - H­¬u ®èm	0	11	65	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Heo tr¾ng	0	11	66	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Bß c¹p	0	11	67	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - NhÖn	0	11	68	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - RÕt	0	11	69	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - ¤ng Giµ N«el (®á)	0	11	70	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Thiªn Sø Gi¸ng Sinh (®á)	0	11	71	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - §Çu «ng ®Şa	0	11	72	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Nam S­	0	11	73	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - B¾c S­	0	11	74	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Long Ch©u	0	11	75	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - §Çu Rång	0	11	76	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Th©n Rång	0	11	77	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - §u«i Rång	0	11	78	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Bé Hi TrÇn	0	11	79	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - KiÒu §Ønh Thiªn	0	11	80	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - §iªu DŞch §ao	0	11	81	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - T©y M«n Giíi	0	11	82	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - HÇu KhÊt KiÕm	0	11	83	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - øng KhiÕu Phong	0	11	84	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Viªn NiÖm TŞch	0	11	85	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Ch÷ Thiªn MÉn	0	11	86	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - V­¬ng T¸	0	11	87	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - HuyÒn Gi¸c §¹i S­	0	11	88	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	2																																	
MÆt n¹ - §­êng BÊt NhiÔm	0	11	89	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	3																																	
MÆt n¹ - B¹ch Doanh Doanh	0	11	90	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	4																																	
MÆt n¹ - Thanh TuyÖt S­ Th¸i	0	11	91	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	5																																	
MÆt n¹ - Yªn HiÓu Tr¸i	0	11	92	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	6																																	
MÆt n¹ - Hµ Nh©n Ng·	0	11	93	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	7																																	
MÆt n¹ - §¬n T­ Nam	0	11	94	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	8																																	
MÆt n¹ - TuyÒn C¬ Tö	0	11	95	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	9																																	
MÆt n¹ - Hµn M«ng	0	11	96	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	10																																	
MÆt n¹ (1 lÇn) - ThiÕu Niªn L«i KiÕm	0	11	97	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ (1 lÇn) - ThiÕu Niªn TiÕu S­¬ng	0	11	98	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ (1 lÇn) - ThiÕu Niªn Háa NhËn	0	11	99	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ (1 lÇn) - ThiÕu Niªn H¶i §­êng	0	11	100	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ (1 lÇn) - ThiÕu Niªn Kim Phong	0	11	101	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - ThiÕu Niªn L«i KiÕm	0	11	102	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - ThiÕu Niªn TiÕu S­¬ng	0	11	103	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - ThiÕu Niªn Háa NhËn	0	11	104	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - ThiÕu Niªn H¶i §­êng	0	11	105	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - ThiÕu Niªn Kim Phong	0	11	106	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ (1 lÇn) - Thanh Niªn L«i KiÕm	0	11	107	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ (1 lÇn) - Thanh Niªn TiÕu S­¬ng	0	11	108	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ (1 lÇn) - Thanh Niªn Háa NhËn	0	11	109	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ (1 lÇn) - Thanh Niªn H¶i §­êng	0	11	110	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ (1 lÇn) - Thanh Niªn Kim Phong	0	11	111	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Thanh Niªn L«i KiÕm	0	11	112	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Thanh Niªn TiÕu S­¬ng	0	11	113	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Thanh Niªn Háa NhËn	0	11	114	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Thanh Niªn H¶i §­êng	0	11	115	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Thanh Niªn Kim Phong	0	11	116	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Thµnh Niªn L«i KiÕm	0	11	117	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Thµnh Niªn TiÕu S­¬ng	0	11	118	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Thµnh Niªn Háa NhËn	0	11	119	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Thµnh Niªn H¶i §­êng	0	11	120	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Thµnh Niªn Kim Phong	0	11	121	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Tinh Linh (Lôc)	0	11	122	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - T©n Niªn HiÖp Kh¸ch	0	11	123	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - T©n Niªn HiÖp N÷	0	11	124	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Thá tr¾ng	0	11	125	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - TuÇn Léc	0	11	126	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Tinh Linh (xanh)	0	11	127	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Tinh Linh (tİm)	0	11	128	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Tinh Linh (®á)	0	11	129	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Tinh Linh (vµng)	0	11	130	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - ¤ng Giµ N«el (xanh)	0	11	131	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - ¤ng Giµ N«el (Hång phÊn)	0	11	132	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - ¤ng Giµ N«el (tr¾ng)	0	11	133	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - ¤ng Giµ N«el (vµng)	0	11	134	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Thiªn Sø Gi¸ng Sinh (xanh)	0	11	135	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Thiªn Sø Gi¸ng Sinh (Hång phÊn)	0	11	136	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Thiªn Sø Gi¸ng Sinh (tr¾ng)	0	11	137	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Thiªn Sø Gi¸ng Sinh (vµng)	0	11	138	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
